loss,arch,optimizer,batch_size,lr,max_step,source_folder,curvature_figure,bimodality_figure,bimodality_precond_figure,drift_figure
MSE,CNN,SGD,128,0.02,34999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260524_0000_22_SGD_lr0.02_b128,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/SGD/curvature_SGD_lr0.02_b128.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/SGD/histograms_SGD_lr0.02_b128.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/SGD/tangent_drift_SGD_lr0.02_b128.png
MSE,CNN,SGD,32,0.02,34999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260523_1547_08_SGD_lr0.02_b32,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/SGD/curvature_SGD_lr0.02_b32.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/SGD/histograms_SGD_lr0.02_b32.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/SGD/tangent_drift_SGD_lr0.02_b32.png
MSE,CNN,SGD,8,0.02,34999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260523_2355_46_SGD_lr0.02_b8,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/SGD/curvature_SGD_lr0.02_b8.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/SGD/histograms_SGD_lr0.02_b8.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/SGD/tangent_drift_SGD_lr0.02_b8.png
MSE,CNN,SGD,8192,0.02,34999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_cnn/20260525_1303_38_SGD_lr0.02_b8192,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/CNN/SGD/curvature_SGD_lr0.02_b8192.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/CNN/SGD/histograms_SGD_lr0.02_b8192.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/CNN/SGD/tangent_drift_SGD_lr0.02_b8192.png
MSE,MLP,Adam,1024,3e-05,79999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_mlp/20260523_2355_49_Adam_lr3e-05_b1024_beta1-0.9_beta2-0.99,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/MLP/Adam/curvature_Adam_lr3e-05_b1024_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/MLP/Adam/histograms_Adam_lr3e-05_b1024_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/MLP/Adam/histograms_Adam_lr3e-05_b1024_beta1-0.9_beta2-0.99_precond.png,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/MLP/Adam/tangent_drift_Adam_lr3e-05_b1024_beta1-0.9_beta2-0.99.png
MSE,MLP,Adam,128,3e-05,79999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_mlp/20260523_2355_48_Adam_lr3e-05_b128_beta1-0.9_beta2-0.99,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/MLP/Adam/curvature_Adam_lr3e-05_b128_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/MLP/Adam/histograms_Adam_lr3e-05_b128_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/MLP/Adam/histograms_Adam_lr3e-05_b128_beta1-0.9_beta2-0.99_precond.png,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/MLP/Adam/tangent_drift_Adam_lr3e-05_b128_beta1-0.9_beta2-0.99.png
MSE,MLP,Adam,32,3e-05,79999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_mlp/20260523_2355_48_Adam_lr3e-05_b32_beta1-0.9_beta2-0.99,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/MLP/Adam/curvature_Adam_lr3e-05_b32_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/MLP/Adam/histograms_Adam_lr3e-05_b32_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/MLP/Adam/histograms_Adam_lr3e-05_b32_beta1-0.9_beta2-0.99_precond.png,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/MLP/Adam/tangent_drift_Adam_lr3e-05_b32_beta1-0.9_beta2-0.99.png
MSE,MLP,Adam,8192,3e-05,79999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_mlp/20260523_2355_55_Adam_lr3e-05_b8192_beta1-0.9_beta2-0.99,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/MLP/Adam/curvature_Adam_lr3e-05_b8192_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/MLP/Adam/histograms_Adam_lr3e-05_b8192_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/MLP/Adam/histograms_Adam_lr3e-05_b8192_beta1-0.9_beta2-0.99_precond.png,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/MLP/Adam/tangent_drift_Adam_lr3e-05_b8192_beta1-0.9_beta2-0.99.png
MSE,MLP,Adam,8,3e-05,79999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_mlp/20260523_2356_29_Adam_lr3e-05_b8_beta1-0.9_beta2-0.99,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/MLP/Adam/curvature_Adam_lr3e-05_b8_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/MLP/Adam/histograms_Adam_lr3e-05_b8_beta1-0.9_beta2-0.99.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/MLP/Adam/histograms_Adam_lr3e-05_b8_beta1-0.9_beta2-0.99_precond.png,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/MLP/Adam/tangent_drift_Adam_lr3e-05_b8_beta1-0.9_beta2-0.99.png
MSE,MLP,Muon,1024,0.001,79999,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_mlp/20260523_2355_47_Muon_lr0.001_b1024_momentum-0.9,/n/home06/mwalden/eoss/marc_files/curvature_results/curvature_failure_sweep/MSE/MLP/Muon/curvature_Muon_lr0.001_b1024_momentum-0.9.png,/n/home06/mwalden/eoss/marc_files/curvature_results/bimodality_sweep/MSE/MLP/Muon/histograms_Muon_lr0.001_b1024_momentum-0.9.png,,/n/home06/mwalden/eoss/marc_files/curvature_results/drift_sweep/MSE/MLP/Muon/tangent_drift_Muon_lr0.001_b1024_momentum-0.9.png
