cell,optn,beta,batch,lr,steps_measured,status,diverged,n_window,kappa_raw,r1_dxu,omega_star_over_pi,gain,kappa_spec,kappa_spec_ci_lo,kappa_spec_ci_hi,kappa_drift,stationary,res_limited,kappa_spec_fixed,kappa_spec_h1,kappa_spec_h2,gbs_med,gbs_q25,gbs_q75,gbs_mean,gbs_n,gbs_over_kspec,death_step,healthy_frac,n_healthy,kappa_spec_fullwin,gbs_med_fullwin,halves_agree,ok,why
L_b128_beta0.9_s2,SGD-Momentum,0.9,128,0.006,20000,done,False,10040,2.177989013671875,-0.11742338784668446,0.5563889530453497,0.7066035921180092,1.5389748606541067,1.5259054643896255,1.5716937366120476,0.0050452039274733185,True,False,1.5388794300939288,1.5389035680777092,1.5577745551536368,1.5290673458720925,1.2821443795545195,1.8157126908841343,2.4615290602749957,9943,0.993562263403183,15040,0.6718,9943,1.5465235558546557,1.5786563362753883,True,True,
L_b128_beta0.9_s3,SGD-Momentum,0.9,128,0.006,20000,done,False,11070,2.190689849853516,-0.09715364701712367,0.5535460441790413,0.7037692796398322,1.541740217545701,1.5266511395377949,1.561186714059666,0.0050466980099233005,True,False,1.5434078306521295,1.5417543737788968,1.5271123042319006,1.508929531727396,1.290048782774618,1.7886971348519936,1.609328696480716,10794,0.9787184082993332,16070,0.7267333333333333,10794,1.547987022275565,1.5686049445424,True,True,
L_b2048_beta0.9_s0,SGD-Momentum,0.9,2048,0.0065,16000,done,False,2517,3.795835754394531,-0.9993161351988851,0.9938084591953518,0.5264409833701618,1.9982835072550769,1.9904190035881444,2.0022293037828782,0.000896818130678545,True,False,1.9983018102029104,1.9984326666328234,1.994932836746886,1.9996687234204227,1.9675670017296407,2.016005312906521,1.9789552967012174,2515,1.0006932030216515,6517,0.2265,2515,2.00576224736666,0.34589484061443154,True,True,
L_b2048_beta0.9_s1,SGD-Momentum,0.9,2048,0.0065,16000,done,False,2424,3.7660975799560545,-0.9984339487161126,0.9964338261260592,0.526044552451336,1.981135115936042,1.9807588763923278,1.9816272910648198,0.0006987735336059231,True,False,1.9811174499890953,1.9811097138777138,1.9801715389172818,1.8126786754186885,1.5596325949513488,1.868550055445747,1.5558215384836331,2392,0.9149697367118943,6424,0.21833333333333332,2392,1.9811090842357861,0.3255704462611052,True,True,
L_b2048_beta0.9_s2,SGD-Momentum,0.9,2048,0.0065,16000,done,False,2455,3.762893798828125,-0.9975979695673766,0.9954938525691946,0.5260575732916859,1.9794987803658566,1.9792451721222974,1.9797080252817425,0.0007223019154503074,True,False,1.9794791580689421,1.9794915666387838,1.9785788862000673,1.8452664797450422,1.690789728983411,1.8965107141443998,1.5971199897932864,2415,0.9321887429523926,6455,0.21791666666666668,2415,1.98148861449623,0.32482575766071664,True,True,
L_b2048_beta0.9_s3,SGD-Momentum,0.9,2048,0.0065,16000,done,False,2368,3.795284698486328,-0.9990287406871561,0.992567917291487,0.5257500083281372,1.995370961836839,1.988491420073557,2.002739562323353,0.0006556658817427063,True,False,1.9955514663930671,1.995360006959721,1.9939536391826977,1.9988328306368426,1.9807812364398742,2.0145080266694686,1.9898466619615378,2368,1.001734949974824,6368,0.21708333333333332,2368,2.0069230055845915,0.35903050166814565,True,True,
L_b2048_beta0.9_s4,SGD-Momentum,0.9,2048,0.0065,16000,done,False,2468,3.7771839599609374,-0.9989224159460112,0.9969236296422032,0.5260246397929271,1.9868918319700741,1.98646438130487,1.9871161246955606,0.0005472925827829656,True,False,1.986881618309442,1.9868956198178178,1.9868308252889975,1.9270286781387973,1.8849145139728243,1.9456819964595096,1.7255662489078614,2431,0.9698709547907697,6468,0.22183333333333333,2431,1.987759128280986,0.3259885640212168,True,True,
L_b32_beta0.9_s0,SGD-Momentum,0.9,32,0.005,30000,done,False,22000,0.6195130920410157,0.2803242310505787,0.3974293431468139,0.8672344950480748,0.5372631235518617,0.5372205557204847,0.550135874195069,-0.04752801523376082,True,False,0.8386154816958513,0.5354256484553397,0.5522243971013384,0.6164478738401489,0.5251899410888958,0.7459860529279091,0.6787175817600325,21999,1.1473854184608736,,0.9999545454545454,21999,0.5372631235518617,0.6164585152887856,True,True,
L_b32_beta0.9_s1,SGD-Momentum,0.9,32,0.005,30000,done,False,22000,0.6250809860229493,0.31748810769407326,0.38432767900072695,0.8732294757016673,0.5458391416959012,0.5372800263247437,0.5583575374838635,-0.018966057179904627,True,False,0.8195901978374384,0.5470887062944035,0.5469873001500963,0.6131975283224058,0.5231661277146982,0.7365897985763055,0.667845633119477,21998,1.1234033646198855,,0.9999090909090909,21998,0.5458391416959012,0.6132126671023184,True,True,
L_b512_beta0.9_s0,SGD-Momentum,0.9,512,0.008,16000,done,False,3490,3.6698359375000003,-0.891517540832296,0.8586114495757157,0.549106325362713,2.0151301263246517,2.0022300496938055,2.0231277577510305,0.00504295283478573,True,False,1.9837314322645876,2.0187347688127146,2.0060297522451096,1.9784046043287202,1.7898981565139525,2.1765893978639443,2.0087249088559163,3471,0.9817751114351537,7490,0.3124166666666667,3471,2.0145240616240008,2.363491538556513,True,True,
