cell,optn,beta,batch,arch,stationary,gbs,kspec,r1,step_top,u_rot,cv_lam
L_nest_b2048_beta0.9_s2,SGD-Nesterov,0.9,2048,mlp_s,True,1.9988712793718926,2.0033127281322614,-0.998813676233862,0.9862174520203617,1e-06,0.0026331729932286005
L_nest_b2048_beta0.9_s3,SGD-Nesterov,0.9,2048,mlp_s,True,1.9957272842771852,2.0024222512737064,-0.9993395537842433,0.9659046629878496,1e-06,0.0031224923450766046
L_nest_b2048_beta0.9_s4,SGD-Nesterov,0.9,2048,mlp_s,True,1.999648015624476,2.001143168218039,-0.9998285143572159,0.9954307330245176,1e-06,0.002056992990754979
L_nest_b256_beta0.9_s0,SGD-Nesterov,0.9,256,mlp_s,True,1.7978664508631597,2.140766736929983,-0.9857511152274988,0.11652547466108461,0.06943249702453613,0.07501802424340481
L_nest_b256_beta0.9_s1,SGD-Nesterov,0.9,256,mlp_s,True,1.726950756185189,2.1368432409038443,-0.9783291295875965,0.10310180042286396,0.07004031538963318,0.0771170194695941
L_nest_b512_beta0.9_s0,SGD-Nesterov,0.9,512,mlp_s,True,1.8616600210571488,2.0708998333091477,-0.9891309044309593,0.2250213480011909,0.03452292084693909,0.04980823813021595
L_nest_b512_beta0.9_s1,SGD-Nesterov,0.9,512,mlp_s,True,1.909050399414405,2.0673791787373634,-0.9941650484634824,0.39302098792815754,0.03459906578063965,0.04878798382012778
L_nest_b8_beta0.9_s0,SGD-Nesterov,0.9,8,mlp_s,True,0.4554932705078326,0.6808972778388301,0.03482676564062317,0.10281191742525264,0.9596359636634588,0.3192895881544506
L_nest_b8_beta0.9_s1,SGD-Nesterov,0.9,8,mlp_s,True,0.45515387848600114,0.6808595430783039,0.021743655479442712,0.10200843619002037,0.9597204886376858,0.3218546745211459
A2_adam_b2048_s0,Adam,0.9,2048,mlp_l,True,2.0211458105899176,0.2755944667202293,-0.44067914034305683,2.562541640010714e-05,0.09706676006317139,6.136002372009122
A2_adam_b2048_s1,Adam,0.9,2048,mlp_l,True,2.0274195999141686,0.31191809120148417,-0.4106435415214086,2.1196237304219388e-05,0.1034197211265564,7.14816825173107
A_adam_b2048_s0,Adam,0.9,2048,mlp_l,True,1.908395649066191,0.2898667477040909,-0.513819467549397,1.0090612140171492e-05,0.09516051411628723,3.569574930555147
A_adam_b2048_s1,Adam,0.9,2048,mlp_l,True,1.8980934809927317,0.2369308785456249,-0.49292139938942564,7.960002347650686e-06,0.08325299620628357,5.004091711901571
A_adam_b8_s0,Adam,0.9,8,mlp_l,False,0.4028342987157759,0.3054993906855351,0.039980126408661915,5.71136497415713e-07,0.9995131773612229,2.5331925484042843
A_adam_b8_s1,Adam,0.9,8,mlp_l,False,0.38092520923001516,0.3943726474974771,0.015245237788684753,7.19111813035998e-07,0.9993716186727397,3.1045048360435685
A_b32_beta0.9_s0,SGD-Momentum,0.9,32,mlp_l,True,0.24899914035618867,0.3095833717428401,0.13986102637139422,0.029495322650655215,0.9048724509775639,0.20883854875262559
A_b32_beta0.9_s1,SGD-Momentum,0.9,32,mlp_l,True,0.20712328791089785,0.3043199702380015,0.13451961023321377,0.02344121514822525,0.9102514758706093,0.22092438643325535
A_b8_beta0.99_s0,SGD-Momentum,0.99,8,mlp_l,False,0.035935659528973936,0.013930349266431151,0.13291734482725812,0.003162502915195796,0.9780285637825727,0.6457609952679847
A_b8_beta0.99_s1,SGD-Momentum,0.99,8,mlp_l,False,0.04019071828504549,0.01380938801988132,0.16384963386570495,0.003427294140828119,0.9790894016623497,0.7250358215728979
A_b8_beta0.9_s0,SGD-Momentum,0.9,8,mlp_l,False,0.09691417703196464,0.14433201063957427,0.1213237025682868,0.021041553562112125,0.9777959566563368,0.5756826092384342
A_b8_beta0.9_s1,SGD-Momentum,0.9,8,mlp_l,False,0.10120596669790527,0.14908619971880818,0.12078499288407472,0.022296527793205498,0.9789081607013941,0.5396489101765268
A_muon_b2048_s0,Muon,0.95,2048,mlp_l,False,2.002340217687584,1.8791778027142303,-0.9989588476964353,0.004970819565325645,1e-06,0.1738107404819369
A_muon_b2048_s1,Muon,0.95,2048,mlp_l,False,2.003850039931055,1.8006866476609855,-0.9992063055685312,0.004180089723531562,1.3709068298339844e-06,0.24305431129840555
A_nest_b128_beta0.9_s0,SGD-Nesterov,0.9,128,mlp_l,True,1.2316109136787647,2.2499483254823116,-0.8178563750336936,0.110776525492249,0.21635454893112183,0.13799480160762057
A_nest_b2048_beta0.9_s0,SGD-Nesterov,0.9,2048,mlp_l,True,1.9864503215281688,1.9943972787334459,-0.9997138512029903,0.9926800882767661,1e-06,0.007008292042990976
A_nest_b2048_beta0.9_s1,SGD-Nesterov,0.9,2048,mlp_l,True,1.9898136108705085,1.9956460628170476,-0.999829584855178,0.994771905584603,1e-06,0.00687332411131005
A_nest_b512_beta0.9_s0,SGD-Nesterov,0.9,512,mlp_l,True,1.5865426798074447,2.075077110389559,-0.9930394153516992,0.4862682465616228,0.04569163918495178,0.05763161793050698
A_sgd_b2048_s0,SGD,0.0,2048,mlp_l,True,1.954892594441307,1.9722295331078148,-0.9998812917455948,0.9850323842378419,1e-06,0.016973689723281664
A_sgd_b2048_s1,SGD,0.0,2048,mlp_l,True,1.951283789513972,1.9681326516402688,-0.772552940385713,0.9847480976254073,1e-06,0.08604418208248346
